"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-31","4.47",",,T","0.00",",,T","0.0",",,T","37",",,T","43",",,T","27",",,T","27",",,T","0.0",",,T","17.9",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-01","1.79",",,T","0.00",",,T","0.0",",,T","28",",,T","35",",,T","23",",,T","25",",,T","0.0",",,T","14.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-02","1.12",",,T","0.30",",,T","3.0",",,T","23",",,T","32",",,T","16",",,T","16",",,T","0.3",",,T","11.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-03","1.57",",,T","0.00",",,T","3.0",",,T","21",",,T","36",",,T","12",",,T","17",",,T","0.2",",,T","10.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-04","2.01",",,T","0.00",",,T","1.0",",,T","27",",,T","37",",,T","16",",,T","27",",,T","0.4",",,T","11.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-05","2.24",",,T","0.00",",,T","0.0",",,T","31",",,T","41",",,T","23",",,T","29",",,T","0.0",",,T","12.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-06","1.79",",,T","0.00",",,T","0.0",",,T","37",",,T","51",",,T","26",",,T","32",",,T","0.0",",,T","7.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-07","2.01",",,T","0.00",",,T","0.0",",,T","44",",,T","55",",,T","31",",,T","44",",,T","0.0",",,T","11.0",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-08","1.57",",,T","0.00",",,T","0.0",",,T","45",",,T","59",",,T","36",",,T","38",",,T","0.0",",,T","6.7",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-09","1.79",",,T","0.00",",,T","0.0",",,T","47",",,T","62",",,T","36",",,T","38",",,T","0.0",",,T","7.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-10","1.79",",,T","0.00",",,T","0.0",",,T","48",",,T","63",",,T","37",",,T","41",",,T","0.0",",,T","8.5",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-11","1.79",",,T","0.00",",,T","0.0",",,T","51",",,T","63",",,T","38",",,T","48",",,T","0.0",",,T","12.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-04-12","2.24",",,T","0.00",",,T","0.0",",,T","50",",,T","60",",,T","42",",,T","45",",,T","0.0",",,T","13.9",",,T"
